13:29:50.931 -> 26.84 | Temp = 
13:29:53.118 -> 26.84 | Temp = 
13:29:55.324 -> 26.93 | Temp = 
13:29:57.527 -> 26.84 | Temp = 
13:29:59.733 -> 26.88 | Temp = 
13:30:01.932 -> 26.88 | Temp = 
13:30:04.131 -> 26.88 | Temp = 
13:30:06.332 -> 26.88 | Temp = 
13:30:08.536 -> 26.84 | Temp = 
13:30:10.735 -> 26.88 | Temp = 
13:30:12.934 -> 26.84 | Temp = 
13:30:15.132 -> 26.69 | Temp = 
13:30:17.337 -> 26.74 | Temp = 
13:30:19.543 -> 26.74 | Temp = 
13:30:21.719 -> 26.69 | Temp = 
13:30:23.921 -> 26.74 | Temp = 
13:30:26.129 -> 26.69 | Temp = 
13:30:28.334 -> 26.79 | Temp = 
13:30:30.536 -> 26.65 | Temp = 
13:30:32.735 -> 26.65 | Temp =
13:30:34.939 -> 26.60 | Temp = 
13:30:37.144 -> 26.60 | Temp = 
13:30:39.347 -> 26.55 | Temp = 
13:30:41.550 -> 26.55 | Temp = 
13:30:43.728 -> 26.51 | Temp = 
13:30:45.929 -> 26.41 | Temp = 
13:30:48.130 -> 26.41 | Temp = 
13:30:50.345 -> 26.41 | Temp = 
13:30:52.552 -> 26.41 | Temp = 
13:30:54.714 -> 26.41 | Temp = 
13:30:56.957 -> 26.41 | Temp = 
13:30:59.113 -> 26.46 | Temp = 
13:31:01.335 -> 26.46 | Temp = 
13:31:03.557 -> 26.46 | Temp = 
13:31:05.755 -> 26.46 | Temp = 
13:31:07.950 -> 26.46 | Temp = 
13:31:10.141 -> 26.41 | Temp = 
13:31:12.351 -> 26.51 | Temp = 
13:31:14.551 -> 26.51 | Temp = 
13:31:16.749 -> 26.55 | Temp = 
13:31:18.948 -> 27.02 | Temp = 
13:31:21.159 -> 27.64 | Temp =
13:31:23.347 -> 28.29 | Temp = 
13:31:25.561 -> 29.24 | Temp = 
13:31:27.745 -> 30.27 | Temp = 
13:31:29.927 -> 31.54 | Temp = 
13:31:32.127 -> 32.62 | Temp = 
13:31:34.349 -> 33.85 | Temp = 
13:31:36.530 -> 34.98 | Temp = 
13:31:38.768 -> 36.29 | Temp = 
13:31:40.947 -> 37.38 | Temp = 
13:31:43.157 -> 38.60 | Temp = 
13:31:45.351 -> 39.87 | Temp = 
13:31:47.564 -> 41.14 | Temp = 
13:31:49.769 -> 42.41 | Temp = 
13:31:51.949 -> 43.54 | Temp = 
13:31:54.158 -> 44.72 | Temp = 
13:31:56.361 -> 45.89 | Temp = 
13:31:58.574 -> 46.93 | Temp = 
13:32:00.759 -> 48.15 | Temp = 
13:32:02.955 -> 49.09 | Temp = 
13:32:05.163 -> 49.94 | Temp = 
13:32:07.368 -> 50.98 | Temp =
13:32:09.564 -> 51.92 | Temp = 
13:32:11.757 -> 52.81 | Temp = 
13:32:13.939 -> 53.61 | Temp = 
13:32:16.159 -> 54.37 | Temp = 
13:32:18.383 -> 55.21 | Temp = 
13:32:20.562 -> 55.87 | Temp = 
13:32:22.779 -> 56.53 | Temp = 
13:32:24.974 -> 57.38 | Temp = 
13:32:27.144 -> 57.94 | Temp = 
13:32:29.374 -> 58.51 | Temp = 
13:32:31.564 -> 59.12 | Temp = 
13:32:33.777 -> 59.68 | Temp = 
13:32:35.973 -> 60.34 | Temp = 
13:32:38.166 -> 60.81 | Temp = 
13:32:40.378 -> 60.95 | Temp = 
13:32:42.576 -> 61.89 | Temp = 
13:32:44.779 -> 62.46 | Temp = 
13:32:46.978 -> 62.93 | Temp = 
13:32:49.184 -> 63.49 | Temp = 
13:32:51.389 -> 63.87 | Temp = 
13:32:53.551 -> 64.29 | Temp =
13:32:55.754 -> 64.72 | Temp = 
13:32:57.989 -> 65.00 | Temp = 
13:33:00.191 -> 65.52 | Temp = 
13:33:02.389 -> 65.80 | Temp = 
13:33:04.573 -> 66.22 | Temp = 
13:33:06.776 -> 66.51 | Temp = 
13:33:08.977 -> 66.88 | Temp = 
13:33:11.179 -> 67.17 | Temp = 
13:33:13.383 -> 67.45 | Temp = 
13:33:15.583 -> 67.82 | Temp = 
13:33:17.780 -> 68.01 | Temp = 
13:33:19.981 -> 68.39 | Temp = 
13:33:22.187 -> 68.62 | Temp = 
13:33:24.393 -> 68.81 | Temp = 
13:33:26.600 -> 69.09 | Temp = 
13:33:28.764 -> 69.52 | Temp = 
13:33:30.997 -> 69.52 | Temp = 
13:33:33.191 -> 69.85 | Temp = 
13:33:35.389 -> 70.04 | Temp = 
13:33:37.591 -> 70.18 | Temp = 
13:33:39.792 -> 70.51 | Temp = 
13:33:41.988 -> 70.65 | Temp =
13:33:46.386 -> 71.12 | Temp = 
13:33:48.590 -> 71.21 | Temp = 
13:33:50.788 -> 71.40 | Temp = 
13:33:52.991 -> 71.54 | Temp = 
13:33:55.193 -> 71.73 | Temp = 
13:33:57.392 -> 71.87 | Temp = 
13:33:59.592 -> 71.97 | Temp = 
13:34:01.775 -> 72.06 | Temp = 
13:34:03.973 -> 72.29 | Temp = 
13:34:06.208 -> 72.48 | Temp = 
13:34:08.406 -> 72.62 | Temp = 
13:34:10.608 -> 72.72 | Temp = 
13:34:12.807 -> 72.77 | Temp = 
13:34:15.007 -> 73.00 | Temp = 
13:34:17.209 -> 73.00 | Temp = 
13:34:19.414 -> 73.19 | Temp = 
13:34:21.621 -> 73.28 | Temp = 
13:34:23.806 -> 73.38 | Temp = 
13:34:26.010 -> 73.38 | Temp = 
13:34:28.218 -> 73.57 | Temp = 
13:34:30.421 -> 73.75 | Temp 
13:34:32.584 -> 73.80 | Temp = 
13:34:34.784 -> 73.85 | Temp = 
13:34:37.018 -> 73.94 | Temp = 
13:34:39.217 -> 74.04 | Temp = 
13:34:41.412 -> 74.04 | Temp = 
13:34:43.612 -> 74.13 | Temp = 
13:34:45.810 -> 74.32 | Temp = 
13:34:48.009 -> 74.37 | Temp = 
13:34:50.218 -> 74.46 | Temp = 
13:34:52.412 -> 74.46 | Temp = 
13:34:54.615 -> 74.60 | Temp = 
13:34:56.815 -> 74.65 | Temp = 
13:34:59.020 -> 74.69 | Temp = 
13:35:01.218 -> 74.69 | Temp = 
13:35:03.415 -> 74.79 | Temp = 
13:35:05.621 -> 74.79 | Temp = 
13:35:07.816 -> 74.98 | Temp = 
13:35:10.018 -> 75.07 | Temp = 
13:35:12.218 -> 75.12 | Temp = 
13:35:14.419 -> 75.21 | Temp = 
13:35:16.617 -> 75.21 | Temp =
13:35:12.218 -> 75.12 | Temp = 
13:35:14.419 -> 75.21 | Temp = 
13:35:16.617 -> 75.21 | Temp = 
13:35:18.816 -> 75.31 | Temp = 
13:35:21.021 -> 75.31 | Temp = 
13:35:23.223 -> 75.40 | Temp = 
13:35:25.419 -> 75.40 | Temp = 
13:35:27.619 -> 75.49 | Temp = 
13:35:29.821 -> 75.35 | Temp = 
13:35:32.021 -> 75.49 | Temp = 
13:35:34.220 -> 75.45 | Temp = 
13:35:36.421 -> 75.64 | Temp = 
13:35:38.625 -> 75.64 | Temp = 
13:35:40.824 -> 75.68 | Temp = 
13:35:43.029 -> 75.73 | Temp = 
13:35:45.242 -> 75.73 | Temp = 
13:35:47.445 -> 75.68 | Temp = 
13:35:49.626 -> 75.87 | Temp = 
13:35:51.828 -> 75.97 | Temp = 
13:35:54.030 -> 75.97 | Temp =
3:35:58.440 -> 75.92 | Temp = 
13:36:00.634 -> 76.06 | Temp = 
13:36:02.833 -> 76.01 | Temp = 
13:36:05.036 -> 76.15 | Temp = 
13:36:07.236 -> 76.15 | Temp = 
13:36:09.439 -> 76.11 | Temp = 
13:36:11.642 -> 76.25 | Temp = 
13:36:13.840 -> 76.15 | Temp = 
13:36:16.040 -> 76.25 | Temp = 
13:36:18.241 -> 76.29 | Temp = 
13:36:20.441 -> 76.20 | Temp = 
13:36:22.642 -> 76.34 | Temp = 
13:36:24.842 -> 76.20 | Temp = 
13:36:27.044 -> 76.34 | Temp = 
13:36:29.246 -> 76.34 | Temp = 
13:36:31.448 -> 76.39 | Temp = 
13:36:33.654 -> 76.39 | Temp = 
13:36:35.839 -> 76.44 | Temp = 
13:36:38.048 -> 76.39 | Temp = 
13:36:40.251 -> 76.44 | Temp 
3:36:42.444 -> 76.53 | Temp = 
13:36:44.650 -> 76.62 | Temp = 
13:36:46.849 -> 76.62 | Temp = 
13:36:49.050 -> 76.58 | Temp = 
13:36:51.256 -> 76.53 | Temp = 
13:36:53.464 -> 76.62 | Temp = 
13:36:55.645 -> 76.67 | Temp = 
13:36:57.848 -> 76.58 | Temp = 
13:37:00.060 -> 76.67 | Temp = 
13:37:02.265 -> 76.77 | Temp = 
13:37:04.430 -> 76.67 | Temp = 
13:37:06.650 -> 76.67 | Temp = 
13:37:08.862 -> 76.77 | Temp = 
13:37:11.069 -> 76.81 | Temp = 
13:37:13.253 -> 76.77 | Temp = 
13:37:15.459 -> 76.77 | Temp = 
13:37:17.662 -> 76.86 | Temp = 
13:37:19.858 -> 76.77 | Temp = 
13:37:22.069 -> 76.77 | Temp = 
13:37:24.275 -> 76.91 | Temp = 
13:37:26.438 -> 76.86 | Temp =
3:37:28.637 -> 76.81 | Temp = 
13:37:30.837 -> 76.81 | Temp = 
13:37:33.078 -> 76.86 | Temp = 
13:37:35.263 -> 76.91 | Temp = 
13:37:37.468 -> 76.91 | Temp = 
13:37:39.681 -> 77.00 | Temp = 
13:37:41.882 -> 76.86 | Temp = 
13:37:44.061 -> 76.95 | Temp = 
13:37:46.268 -> 77.00 | Temp = 
13:37:48.481 -> 77.00 | Temp = 
13:37:50.664 -> 77.05 | Temp = 
13:37:52.862 -> 76.95 | Temp = 
13:37:55.063 -> 77.00 | Temp = 
13:37:57.267 -> 77.05 | Temp = 
13:37:59.479 -> 77.09 | Temp = 
13:38:01.687 -> 77.09 | Temp = 
13:38:03.886 -> 77.14 | Temp = 
13:38:06.086 -> 77.09 | Temp = 
13:38:08.250 -> 77.09 | Temp = 
13:38:10.489 -> 77.14 | Temp = 
13:38:12.653 -> 77.14 | Temp =
13:38:14.853 -> 77.19 | Temp = 
13:38:17.053 -> 77.14 | Temp = 
13:38:19.256 -> 77.19 | Temp = 
13:38:21.475 -> 77.24 | Temp = 
13:38:23.677 -> 77.09 | Temp = 
13:38:25.876 -> 77.24 | Temp = 
13:38:28.086 -> 77.28 | Temp = 
13:38:30.291 -> 77.14 | Temp = 
13:38:32.493 -> 77.19 | Temp = 
13:38:34.695 -> 77.14 | Temp = 
13:38:36.878 -> 77.24 | Temp = 
13:38:39.081 -> 77.28 | Temp = 
13:38:41.285 -> 77.28 | Temp = 
13:38:43.491 -> 77.33 | Temp = 
13:38:45.685 -> 77.28 | Temp = 
13:38:47.885 -> 77.38 | Temp = 
13:38:50.093 -> 77.24 | Temp = 
13:38:52.299 -> 76.95 | Temp = 
13:38:54.501 -> 76.39 | Temp = 
13:38:56.697 -> 75.78 | Temp = 
3:38:58.885 -> 75.07 | Temp = 
13:39:01.094 -> 74.22 | Temp = 
13:39:03.297 -> 73.47 | Temp = 
13:39:05.499 -> 72.44 | Temp = 
13:39:07.703 -> 71.59 | Temp = 
13:39:09.902 -> 70.74 | Temp = 
13:39:12.103 -> 69.89 | Temp = 
13:39:14.294 -> 69.00 | Temp = 
13:39:16.500 -> 68.06 | Temp = 
13:39:18.705 -> 67.26 | Temp = 
13:39:20.911 -> 66.60 | Temp = 
13:39:23.114 -> 65.94 | Temp = 
13:39:25.291 -> 65.24 | Temp = 
13:39:27.496 -> 64.48 | Temp = 
13:39:29.702 -> 63.92 | Temp = 
13:39:31.907 -> 63.31 | Temp = 
13:39:34.116 -> 62.79 | Temp = 
13:39:36.296 -> 62.27 | Temp = 
13:39:38.501 -> 61.75 | Temp = 
13:39:40.702 -> 61.24 | Temp =
13:39:42.906 -> 60.81 | Temp = 
13:39:45.109 -> 60.53 | Temp = 
13:39:47.309 -> 60.06 | Temp = 
13:39:49.515 -> 59.64 | Temp = 
13:39:51.707 -> 59.12 | Temp = 
13:39:53.910 -> 58.51 | Temp = 
13:39:56.116 -> 57.85 | Temp = 
13:39:58.323 -> 57.33 | Temp = 
13:40:00.501 -> 56.72 | Temp = 
13:40:02.703 -> 56.15 | Temp = 
13:40:04.910 -> 55.82 | Temp = 
13:40:07.110 -> 55.31 | Temp = 
13:40:09.320 -> 55.21 | Temp = 
13:40:11.526 -> 54.84 | Temp = 
13:40:13.709 -> 54.60 | Temp = 
13:40:15.915 -> 54.32 | Temp = 
